property_name,property_type,property,website,address,phone_number,developer,manager,owner,property_type_2,property_status,product_type,property_rating,comp_status,year_built_renovated,most_recent_sale,distance_from_campus,address_line_2
1047 Commonwealth Avenue,Property,1047 Commonwealth,http://www.1047commonwealth.com/,"1047 Commonwealth Ave, Boston, MA 02215",617-500-6481,BPDA,GMH Communities,AGC + GMH Communities,Student,Operational,Mid-Rise,2,Subject Property,2017,2019-01-01,0.1 Miles,NA
1330 Boylston,Competitor,1330 Boylston,NA,"1330 Boylston St, Boston, MA 02215",(617) 267-1330,Samuels and Associates,Samuels and Associates,Samuels and Associates,Conventional,Operational,High-Rise,5,Tier 2,2008,NA,1 mile,NA
Van Ness,Competitor,Van Ness,NA,"1335 Boylston St, Boston, MA, 02215",617-424-1335,Samuels And Associates,Samuels And Associates,Samuels And Associates,Conventional,Operational,High-Rise,4,Tier 2,2015,NA,1 Miles,NA
Bower,Competitor,Bower,NA,"771 Beacon St Apartment 775, Boston, MA 02215",(617) 341-9700,The Green Cities Company,Greystar,Greystar,Conventional,Operational,High-Rise,5,Tier 2,2020,NA,0.2 miles,NA
Academy 65,Property,Academy 65,http://www.academy65.com/,1325 65th St,916-527-1325,NA,GMH Communties,GMH Captial Partners,Student,Operational,Mid-Rise,4,Subject Property,2019,NA,0.25 Miles,"Sacramento CA, 95819"
Hornet Commons,Competitor,Hornet Commons,NA,3001 State University Dr,916 573-6205,NA,Greystar,NA,Student,Operational,Mid-Rise,3,Tier 1,2021,NA,0.6 Miles,"Sacramento, CA 95826"
Wexler,Competitor,Wexler,NA,"1500 67th St,",916 400-3499,NA,Asset Living,NA,Student,Operational,Mid-Rise,4,Tier 1,2022,NA,0.7 Miles,"Sacramento, CA 95819"
The Lark,Competitor,The Lark,NA,3075 Redding Ave,916 587-1700,The Scion Group,The Scion Group,The Scion Group LLC,Student,Operational,Garden,4,Tier 1,2016,NA,1 Miles,"Sacramento, CA 95820"
The Crossings,Competitor,The Crossings,NA,2920 Ramona Ave,916 226-3439,NA,Student Quarters,NA,Student,Operational,Mid-Rise,3,Tier 1,2018,NA,1.1 Miles,"Sacramento, CA 95826"
The Element,Competitor,The Element,NA,6730 4th Ave,916 736-2069,NA,Book N Ladder,NBPC,Student,Operational,Garden,2,Tier 1,2004,2016-12-01,1 Mile,"Sacramento, CA 95819"
The Academy at Frisco,Property,Academy at Frisco,NA,413 N. West Ave.,479-935-8888,NA,GMH,GMH/Principal,Student,Operational,High-Rise,3,Subject Property,2008,NA,0.1 Miles,"Fayetteville, AR 72701"
The Retreat,Competitor,The Retreat,NA,1369 Stadium Dr.,479-339-0450,Landmark,Landmark,Landmark,Student,Operational,Garden,5,Direct,2023,NA,0.2 Miles,"Fayetteville, AR 72701"
The Cardinal at West Center,Competitor,The Cardinal at West Center,NA,831 W Center St.,479-225-9659,Capstone,CREI,CREI,Student,Operational,High-Rise,3,Direct,2014,NA,0 Miles,"Fayetteville, AR 72701"
Atmosphere,Competitor,Atmosphere,NA,22 S Duncan Ave,479-225-9250,Scion,Scion,Scion,Student,Operational,Mid-Rise,4,Direct,2016,NA,0.1 Miles,"Fayetteville, AR 72701"
University House,Competitor,University House,NA,1801 W Diamond Dr.,479-935-4111,NA,Scion,Scion,Student,Operational,Garden,4,Direct,2013,2022-06-01,.75 Miles,"Fayetteville, AR 72701"
Hill Place,Competitor,Hill Place,NA,754 S. Royal Oak Parkway,501-708-2777,Peak Campus,Cardinal Group,Cardinal Group,Student,Operational,Garden,3,Direct,2009,NA,0 Miles,"Fayetteville, AR 72701"
The Younion,Competitor,The Younion,NA,376 W Watson St.,479-439-9351,Sterling Group,Asset,Asset,Student,Operational,High-Rise,4,Direct,2016,NA,0.02 Miles,"Fayetteville, AR 72701"
The Locale,Competitor,The Locale,NA,1223 Haven Dr.,479-935-2951,Landmark,Student Quarters,Student Quarters,Student,Operational,High-Rise,3,Direct,2018,NA,0.3 Miles,"Fayetteville, AR 72701"
Academy Lincoln,Property,Academy Lincoln,http://www.academylincoln.com/,1850 P St,402-858-9334,Aspen Heights,GMH Communities,GMH & AGC,Student,Operational,Mid-Rise,3,Subject Property,2016,2018-12-21,0.5 miles,NA
