report_date,property_id,property_name,avg_sqft,avg_advertised_rate,total_unit_count,excluded_unit_count,rentable_unit_count,occupied_count,available_count,total_scheduled_rent,yoy_variance,avg_scheduled_rent,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent
2025-02-12,739076,1008 S. 4th,321.0759493670886,0,158,0,158,154,158,0,0,0,0,1,0,0,0,1,0.006329113924050633,25,2,0,0,25,2,0.012658227848101266,0,0,0,0,0,0,0,74,98,50,55,124,153,0.9683544303797469,0,0,0,0,0,0,0,0
2025-02-12,739085,1047 Commonwealth Avenue,347.5245901639344,0,183,0,183,169,183,0,0,0,0,2,1,0,1,2,0.01092896174863388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,51,41,71,52,0.28415300546448086,0,0,0,0,0,0,0,0
2025-02-12,739079,307 E. Daniel,385,0,40,0,40,40,40,0,0,0,0,0,0,1,0,1,0.025,6,1,0,0,6,1,0.025,0,0,0,0,0,0,0,16,25,15,11,31,36,0.9,0,0,0,0,0,0,0,0
2025-02-12,739080,501 S. 6th,448.75961538461536,0,104,0,104,104,104,0,0,0,0,0,0,0,0,0,0,11,3,0,0,11,3,0.028846153846153848,0,0,0,0,0,0,0,33,79,51,17,84,96,0.9230769230769231,0,0,0,0,0,0,0,0
2025-02-12,739084,908 S. 1st,365.6979166666667,0,96,0,96,92,96,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,1,0.010416666666666666,0,2,0,1,0,3,0.03125,46,59,34,21,80,80,0.8333333333333334,0,0,0,0,0,0,0,0
2025-02-12,1115679,ANOVA uCity Square,555.0672451193059,0,461,0,461,425,461,0,0,0,0,0,2,9,2,9,0.019522776572668113,0,0,0,2,0,2,0.004338394793926247,2,0,0,3,2,3,0.006507592190889371,86,57,27,38,113,95,0.20607375271149675,0,0,0,0,0,0,0,0
2025-02-12,641240,Academy 65,274.62459546925567,0,309,0,309,307,309,0,0,0,0,1,3,0,3,1,0.003236245954692557,0,0,2,0,2,0,0,0,0,1,0,1,0,0,10,18,50,95,60,113,0.3656957928802589,0,0,0,0,0,0,0,0
2025-02-12,676055,Academy Lincoln,322.4810126582278,0,632,0,632,624,632,0,0,0,3,5,2,1,5,6,0.00949367088607595,1,1,0,0,1,1,0.0015822784810126582,2,1,0,0,2,1,0.0015822784810126582,227,251,190,180,417,431,0.6819620253164557,0,0,0,0,0,0,0,0
2025-02-12,1161867,Courts at Spring Mill Station,955.4300518134716,0,386,0,386,359,386,0,0,0,0,1,3,4,3,5,0.012953367875647668,0,0,0,3,0,3,0.007772020725388601,0,2,1,0,1,2,0.0051813471502590676,68,60,111,129,179,189,0.4896373056994819,0,0,0,0,0,0,0,0
2025-02-12,952515,SOVA,394.1078431372549,0,816,0,816,813,816,0,0,0,3,7,2,7,5,14,0.01715686274509804,0,1,0,0,0,1,0.0012254901960784314,20,0,7,0,27,0,0,166,62,293,330,459,392,0.4803921568627451,0,0,0,0,0,0,0,0
2025-02-12,518044,Shortbread Lofts,296.29411764705884,0,374,0,374,374,374,0,0,0,1,0,0,0,1,0,0,41,1,0,0,41,1,0.00267379679144385,2,0,0,0,2,0,0,290,345,25,25,315,370,0.9893048128342246,0,0,0,0,0,0,0,0
2025-02-12,577897,Station Nine,965.0433436532508,0,323,0,323,307,323,0,0,0,0,0,0,3,0,3,0.009287925696594427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,55,6,10,62,65,0.20123839009287925,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,367.2203125,0,640,0,640,634,640,0,0,0,0,2,0,4,0,6,0.009375,26,3,0,0,26,3,0.0046875,7,1,1,0,8,1,0.0015625,226,316,315,255,541,571,0.8921875,0,0,0,0,0,0,0,0
