report_date,property_id,property_name,unit_type,avg_sqft,avg_advertised_rate,total_unit_count,excluded_unit_count,rentable_unit_count,occupied_count,available_count,total_scheduled_rent,yoy_variance,avg_scheduled_rent,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent
2025-02-12,739076,1008 S. 4th,B1,316,0,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,3,3,6,8,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,B2,315,0,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.125,0,0,0,0,0,0,0,1,7,3,0,4,7,0.875,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,B3,377,0,10,0,10,9,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,5,4,5,8,10,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,B4,462,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,B5,464,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,C1,328,0,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,3,9,8,12,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,D1,276,0,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,9,5,13,15,0.9375,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,D1 Balcony,276,0,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,9,12,4,4,13,16,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,D2,306,0,48,0,48,47,48,0,0,0,0,0,0,0,0,0,0,9,1,0,0,9,1,0.020833333333333332,0,0,0,0,0,0,0,23,26,16,21,39,47,0.9791666666666666,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,D3 Balcony,345,0,12,0,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,2,0,11,10,0.8333333333333334,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,M1 Murphy,321,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,4,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,M1 Murphy Balcony,319,0,12,0,12,12,12,0,0,0,0,1,0,0,0,1,0.08333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,2,4,10,12,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,S1,432,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,1,3,4,1,0,0,0,0,0,0,0,0
2025-02-12,739076,1008 S. 4th,S2,406,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,4,4,1,0,0,0,0,0,0,0,0
2025-02-12,739085,1047 Commonwealth Avenue,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,739085,1047 Commonwealth Avenue,S1,308.16,0,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,10,6,18,7,0.28,0,0,0,0,0,0,0,0
2025-02-12,739085,1047 Commonwealth Avenue,S10,528,0,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
