report_date,property_id,property_name,unit_type,excluded_units,rentable_units,occupied_units,available_units,avg_market_rent,avg_budgeted_rent,avg_advertised_rate,avg_scheduled_rent,avg_actual_charges,avg_scheduled_charges,current_preleased_new_count,prior_preleased_new_count,current_preleased_renewal_count,prior_preleased_renewal_count,current_preleased_total_count,prior_preleased_total_count,current_preleased_percent,prior_preleased_percent,variance
2025-02-11,739076,1008 S. 4th,B1,0,8,8,8,0,223.25,1000,1006.875,0,1006.875,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,B2,0,8,8,8,0,0,1000,1025,0,1025,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,B3,0,10,9,10,0,407.6,1160,1163,0,1163,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,B4,0,2,2,2,0,0,1140,1187.5,0,1187.5,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,B5,0,2,2,2,0,0,1150,1197.5,0,1197.5,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,C1,0,12,12,12,154.16666666666666,435.625,937.5,940.4166666666666,0,940.4166666666666,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,D1,0,16,16,16,107.33333333333333,208,858.3333333333334,869.6666666666666,0,869.6666666666666,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,D1 Balcony,0,16,16,16,155.625,197.5,880,875,0,875,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,D2,0,48,47,48,106.25,318.75,899.2708333333334,926.9791666666666,0,926.9791666666666,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,D3 Balcony,0,12,10,12,0,0,984.5,1011.5,0,1011.5,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,M1 Murphy,0,4,4,4,0,266.875,1210,1208.75,0,1208.75,0,0,0,0,0,0,0,0,0
2025-02-11,739076,1008 S. 4th,M1 Murphy Balcony,0,12,12,12,83.84615384615384,343.59076923076924,1246.5384615384614,1248.4615384615386,0,1248.4615384615386,0,0,0,0,0,0,0,0,0
