report_date,property_id,property_name,unit_type,excluded_units,rentable_units,occupied_units,available_units,current_preleased_new_count,prior_preleased_new_count,current_preleased_renewal_count,prior_preleased_renewal_count,current_preleased_total_count,prior_preleased_total_count,current_preleased_percent,prior_preleased_percent,variance
2025-02-11,518041,The Academy at Frisco,A1,0,31,31,31,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,A2,0,3,3,3,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,B1,0,48,48,48,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,B2,0,10,10,10,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,B3,0,10,9,10,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,C1,0,18,18,18,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,D1,0,228,223,228,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,D2,0,140,140,140,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,D3,0,16,16,16,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,D4,0,40,40,40,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,D5,0,76,76,76,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,518041,The Academy at Frisco,Studio,0,20,20,20,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,A1,0,1,1,1,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,A2,0,1,1,1,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,B1,0,10,10,10,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,B2,0,8,8,8,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,B3,0,6,6,6,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,B4,0,8,8,8,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,B5,0,8,8,8,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,B6,0,10,9,10,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,C1,0,12,12,12,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,C2,0,36,36,36,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,C3,0,24,24,24,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,C4,0,3,3,3,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,D1,0,104,104,104,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,D2,0,40,40,40,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,D3,0,20,20,20,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,D4,0,32,32,32,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,S1,0,4,4,4,0,0,0,0,0,0,0,0,0
2025-02-11,518042,The Academy on Charles,S2,0,1,1,1,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,B1,0,40,40,40,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,B2,0,10,10,10,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,B3,0,2,2,2,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,B4,0,2,2,2,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,C1,0,56,56,56,0,0,0,0,0,0,0,0,0
2025-02-11,518044,Shortbread Lofts,C2,0,6,6,6,0,0,0,0,0,0,0,0,0
