report_date,property_id,property_name,unit_type,total_units,excluded_units,rentable_units,available_units,avg_scheduled_charges,current_occupied,current_occupancy,current_total_new,current_total_renewals,current_total_leases,current_preleased_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_preleased_percent,yoy_variance_count,yoy_variance_percent
2025-02-14,518041,The Academy at Frisco,A1,31,0,31,31,762.3333333333334,31,1,6,24,30,0.967741935483871,12,14,26,0.8387096774193549,4,0.12903225806451613
2025-02-14,518041,The Academy at Frisco,A2,3,0,3,3,812.5,3,1,0,1,1,0.3333333333333333,1,2,3,1,-2,-0.6666666666666667
2025-02-14,518041,The Academy at Frisco,B1,48,0,48,48,539.9479166666666,48,1,26,22,48,1,14,33,47,0.9791666666666666,1,0.02083333333333337
2025-02-14,518041,The Academy at Frisco,B2,10,0,10,10,521.75,10,1,4,6,10,1,5,3,8,0.8,2,0.19999999999999996
2025-02-14,518041,The Academy at Frisco,B3,10,0,10,10,529.6875,9,0.9,6,2,8,0.8,3,1,4,0.4,4,0.4
2025-02-14,518041,The Academy at Frisco,C1,18,0,18,18,539.2857142857143,18,1,3,15,18,1,10,8,18,1,0,0
2025-02-14,518041,The Academy at Frisco,D1,228,0,228,228,492.9166666666667,223,0.9780701754385965,132,82,214,0.9385964912280702,101,102,203,0.8903508771929824,11,0.04824561403508776
2025-02-14,518041,The Academy at Frisco,D2,140,0,140,140,485.921568627451,140,1,79,53,132,0.9428571428571428,45,87,132,0.9428571428571428,0,0
2025-02-14,518041,The Academy at Frisco,D3,16,0,16,16,507.9310344827586,16,1,9,6,15,0.9375,5,9,14,0.875,1,0.0625
2025-02-14,518041,The Academy at Frisco,D4,40,0,40,40,546.5957446808511,40,1,11,12,23,0.575,15,21,36,0.9,-13,-0.32500000000000007
2025-02-14,518041,The Academy at Frisco,D5,76,0,76,76,515.52,76,1,40,24,64,0.8421052631578947,39,29,68,0.8947368421052632,-4,-0.052631578947368474
2025-02-14,518041,The Academy at Frisco,Studio,20,0,20,20,783.9130434782609,20,1,3,10,13,0.65,9,7,16,0.8,-3,-0.15000000000000002
2025-02-14,518042,The Academy on Charles,A1,1,0,1,1,2100,1,1,1,0,1,1,0,1,1,1,0,0
2025-02-14,518042,The Academy on Charles,A2,1,0,1,1,2225,1,1,0,1,1,1,0,1,1,1,0,0
2025-02-14,518042,The Academy on Charles,B1,10,0,10,10,1545.4545454545455,10,1,8,2,10,1,7,3,10,1,0,0
2025-02-14,518042,The Academy on Charles,B2,8,0,8,8,1726.25,8,1,8,0,8,1,0,8,8,1,0,0
2025-02-14,518042,The Academy on Charles,B3,6,0,6,6,1462.857142857143,6,1,2,4,6,1,6,0,6,1,0,0
2025-02-14,518042,The Academy on Charles,B4,8,0,8,8,1690,8,1,0,2,2,0.25,3,4,7,0.875,-5,-0.625
2025-02-14,518042,The Academy on Charles,B5,8,0,8,8,1711,8,1,2,3,5,0.625,6,2,8,1,-3,-0.375
2025-02-14,518042,The Academy on Charles,B6,10,0,10,10,1560.5,9,0.9,4,5,9,0.9,7,2,9,0.9,0,0
2025-02-14,518042,The Academy on Charles,C1,12,0,12,12,1567.5,12,1,9,3,12,1,5,5,10,0.8333333333333334,2,0.16666666666666663
2025-02-14,518042,The Academy on Charles,C2,36,0,36,36,1527.0689655172414,36,1,17,10,27,0.75,21,15,36,1,-9,-0.25
2025-02-14,518042,The Academy on Charles,C3,24,0,24,24,1510.4347826086957,24,1,18,4,22,0.9166666666666666,9,12,21,0.875,1,0.04166666666666663
2025-02-14,518042,The Academy on Charles,C4,3,0,3,3,1625,3,1,0,1,1,0.3333333333333333,0,2,2,0.6666666666666666,-1,-0.3333333333333333
2025-02-14,518042,The Academy on Charles,D1,104,0,104,104,1352.5,104,1,1,5,6,0.057692307692307696,21,25,46,0.4423076923076923,-40,-0.3846153846153846
2025-02-14,518042,The Academy on Charles,D2,40,0,40,40,1561.2,40,1,9,16,25,0.625,26,13,39,0.975,-14,-0.35
2025-02-14,518042,The Academy on Charles,D3,20,0,20,20,1523.75,20,1,6,10,16,0.8,12,6,18,0.9,-2,-0.09999999999999998
2025-02-14,518042,The Academy on Charles,D4,32,0,32,32,1502.5,32,1,4,4,8,0.25,4,9,13,0.40625,-5,-0.15625
2025-02-14,518042,The Academy on Charles,S1,4,0,4,4,2022.5,4,1,1,3,4,1,0,4,4,1,0,0
2025-02-14,518042,The Academy on Charles,S2,1,0,1,1,2465,1,1,1,0,1,1,0,1,1,1,0,0
2025-02-14,518044,Shortbread Lofts,B1,40,0,40,40,1246.5,40,1,33,7,40,1,32,8,40,1,0,0
2025-02-14,518044,Shortbread Lofts,B2,10,0,10,10,1540,10,1,8,2,10,1,9,1,10,1,0,0
2025-02-14,518044,Shortbread Lofts,B3,2,0,2,2,1495,2,1,0,2,2,1,0,2,2,1,0,0
2025-02-14,518044,Shortbread Lofts,B4,2,0,2,2,1065,2,1,0,2,2,1,0,1,1,0.5,1,0.5
2025-02-14,518044,Shortbread Lofts,C1,56,0,56,56,1342.6785714285713,56,1,50,6,56,1,43,6,49,0.875,7,0.125
2025-02-14,518044,Shortbread Lofts,C2,6,0,6,6,995,6,1,6,0,6,1,6,0,6,1,0,0
2025-02-14,518044,Shortbread Lofts,C3,20,0,20,20,1258,20,1,20,0,20,1,19,0,19,0.95,1,0.050000000000000044
2025-02-14,518044,Shortbread Lofts,C4,24,0,24,24,1151.25,24,1,22,2,24,1,22,2,24,1,0,0
2025-02-14,518044,Shortbread Lofts,D1,205,0,205,205,1164.1831683168316,205,1,200,2,202,0.9853658536585366,197,4,201,0.9804878048780488,1,0.004878048780487809
2025-02-14,518044,Shortbread Lofts,D2,9,0,9,9,1339.4444444444443,9,1,7,2,9,1,6,1,7,0.7777777777777778,2,0.2222222222222222
2025-02-14,518046,The Rise at Northgate,A1,36,0,36,36,999.8412698412699,36,1,6,26,32,0.8888888888888888,7,27,34,0.9444444444444444,-2,-0.05555555555555558
2025-02-14,518046,The Rise at Northgate,A2,4,0,4,4,958.3333333333334,4,1,1,2,3,0.75,3,1,4,1,-1,-0.25
2025-02-14,518046,The Rise at Northgate,A3,1,0,1,1,1300,1,1,1,0,1,1,0,0,0,0,1,1
2025-02-14,518046,The Rise at Northgate,B1,42,0,42,42,722.0666666666667,42,1,21,20,41,0.9761904761904762,15,27,42,1,-1,-0.023809523809523836
2025-02-14,518046,The Rise at Northgate,B2,4,0,4,4,771.25,4,1,0,4,4,1,1,2,3,0.75,1,0.25
2025-02-14,518046,The Rise at Northgate,B3,2,0,2,2,783.75,2,1,0,2,2,1,0,2,2,1,0,0
2025-02-14,518046,The Rise at Northgate,C1,3,0,3,3,772,3,1,1,2,3,1,0,3,3,1,0,0
2025-02-14,518046,The Rise at Northgate,D1,252,0,252,252,719.0397350993378,252,1,82,109,191,0.7579365079365079,97,131,228,0.9047619047619048,-37,-0.14682539682539686
2025-02-14,518046,The Rise at Northgate,D2,4,0,4,4,785,4,1,1,3,4,1,2,2,4,1,0,0
2025-02-14,518046,The Rise at Northgate,D3,40,0,40,40,810.188679245283,40,1,23,14,37,0.925,15,21,36,0.9,1,0.025000000000000022
2025-02-14,518046,The Rise at Northgate,E1,15,0,15,15,619.4,15,1,3,12,15,1,5,9,14,0.9333333333333333,1,0.06666666666666665
2025-02-14,518046,The Rise at Northgate,E2,30,0,30,30,623.1372549019608,30,1,10,20,30,1,7,22,29,0.9666666666666667,1,0.033333333333333326
2025-02-14,518046,The Rise at Northgate,E3,5,0,5,5,594.4444444444445,5,1,4,1,5,1,1,4,5,1,0,0
2025-02-14,518046,The Rise at Northgate,F1,6,0,6,6,627.7777777777778,6,1,2,4,6,1,2,1,3,0.5,3,0.5
