property_id,lease_term_id,lease_start_window_id,window_start_date,window_end_date
739076,10891,7942,08/31/2019,08/04/2020
739076,10891,7943,08/31/2019,08/04/2020
739076,10891,7944,08/31/2019,08/04/2020
739076,10891,7940,08/31/2019,08/04/2020
739076,11004,8002,08/17/2020,12/31/2020
739076,11004,8001,08/17/2020,12/31/2020
739076,11004,8003,08/17/2020,12/31/2020
739076,11004,8004,08/17/2020,12/31/2020
739076,11005,8008,08/17/2020,05/31/2021
739076,11005,8005,08/17/2020,05/31/2021
739076,11005,8006,08/17/2020,05/31/2021
739076,11005,8007,08/17/2020,05/31/2021
739076,11008,8284,08/18/2020,12/28/2020
739076,11008,8283,08/18/2020,12/28/2020
739076,11008,8282,08/18/2020,12/28/2020
739076,11008,8281,08/18/2020,12/28/2020
739076,11096,8940,08/16/2021,01/31/2022
739076,11096,8937,08/16/2021,01/31/2022
739076,11096,8939,08/16/2021,01/31/2022
739076,11096,8938,08/16/2021,01/31/2022
739076,11037,8879,08/16/2021,12/31/2021
739076,11037,8878,08/16/2021,12/31/2021
739076,11037,8877,08/16/2021,12/31/2021
739076,11037,8876,08/16/2021,12/31/2021
739076,11121,9008,08/15/2022,07/31/2023
739076,11121,9009,08/15/2022,07/31/2023
739076,11121,8974,08/15/2022,07/31/2023
739076,11121,8976,08/15/2022,07/31/2023
739076,11121,8973,08/15/2022,07/31/2023
739076,11121,8975,08/15/2022,07/31/2023
739076,11199,9018,08/16/2023,07/30/2024
739076,11199,9017,08/16/2023,07/30/2024
739076,11199,9016,08/16/2023,07/30/2024
739076,11199,9019,08/16/2023,07/30/2024
739076,11199,9046,08/16/2023,07/30/2024
739076,11199,9045,08/16/2023,07/30/2024
739076,11199,9044,08/16/2023,07/30/2024
739076,11199,9043,08/16/2023,07/30/2024
739076,11457,9333,08/16/2024,07/30/2025
739076,11457,9332,08/16/2024,07/30/2025
739076,11457,9334,08/16/2024,07/30/2025
739076,11457,9331,08/16/2024,07/30/2025
739076,11909,9863,08/15/2025,07/30/2026
739076,11909,9864,08/15/2025,07/30/2026
739076,11909,9862,08/15/2025,07/30/2026
739076,11909,9861,08/15/2025,07/30/2026
739076,10894,7952,08/17/2020,07/30/2021
739076,10894,7953,08/17/2020,07/30/2021
739076,10894,7951,08/17/2020,07/30/2021
739076,10894,7954,08/17/2020,07/30/2021
739076,11020,8843,08/15/2021,07/31/2022
739076,11020,8841,08/15/2021,07/31/2022
739076,11020,8840,08/15/2021,07/31/2022
739076,11020,8842,08/15/2021,07/31/2022
739076,11020,8857,08/16/2021,07/31/2022
739076,11020,8855,08/16/2021,07/31/2022
739076,11020,8854,08/16/2021,07/31/2022
739076,11020,8856,08/16/2021,07/31/2022
739076,11910,9865,08/15/2025,07/30/2026
739076,11910,9866,08/15/2025,07/30/2026
739076,11910,9867,08/15/2025,07/30/2026
739076,11910,9868,08/15/2025,07/30/2026
739076,11009,8288,01/15/2021,05/31/2021
739076,11009,8285,01/15/2021,05/31/2021
739076,11009,8287,01/15/2021,05/31/2021
739076,11009,8286,01/15/2021,05/31/2021
739076,11458,9336,08/16/2024,07/30/2025
739076,11458,9338,08/16/2024,07/30/2025
739076,11458,9337,08/16/2024,07/30/2025
739076,11458,9335,08/16/2024,07/30/2025
739085,10878,7917,07/01/2019,06/30/2020
739085,10954,7982,08/01/2020,07/31/2021
739085,10955,8928,08/01/2021,05/31/2022
739085,10955,7983,08/01/2021,07/31/2022
739085,10955,8897,08/02/2021,07/31/2022
739085,10955,8927,09/01/2021,07/31/2022
739085,11130,8989,08/15/2022,07/31/2023
739085,11130,8988,08/15/2022,07/31/2023
739085,11226,9179,08/14/2023,07/31/2024
739085,11529,9377,08/17/2024,07/31/2025
739085,12060,9988,08/17/2024,05/31/2025
739085,11924,9882,08/18/2025,07/31/2026
739085,11925,9883,08/18/2025,07/31/2026
739085,11530,9378,08/17/2024,07/31/2025
739079,10891,7943,08/31/2019,08/04/2020
739079,10891,7940,08/31/2019,08/04/2020
739079,10891,7944,08/31/2019,08/04/2020
739079,10891,7942,08/31/2019,08/04/2020
739079,11004,8001,08/17/2020,12/31/2020
739079,11004,8003,08/17/2020,12/31/2020
739079,11004,8004,08/17/2020,12/31/2020
739079,11004,8002,08/17/2020,12/31/2020
739079,11005,8008,08/17/2020,05/31/2021
739079,11005,8005,08/17/2020,05/31/2021
739079,11005,8006,08/17/2020,05/31/2021
739079,11005,8007,08/17/2020,05/31/2021
739079,11008,8284,08/18/2020,12/28/2020
739079,11008,8283,08/18/2020,12/28/2020
739079,11008,8282,08/18/2020,12/28/2020
739079,11008,8281,08/18/2020,12/28/2020
739079,11096,8937,08/16/2021,01/31/2022
739079,11096,8938,08/16/2021,01/31/2022
739079,11096,8939,08/16/2021,01/31/2022
739079,11096,8940,08/16/2021,01/31/2022
739079,11037,8879,08/16/2021,12/31/2021
739079,11037,8878,08/16/2021,12/31/2021
739079,11037,8877,08/16/2021,12/31/2021
739079,11037,8876,08/16/2021,12/31/2021
739079,11121,8973,08/15/2022,07/31/2023
739079,11121,9008,08/15/2022,07/31/2023
739079,11121,9009,08/15/2022,07/31/2023
739079,11121,8974,08/15/2022,07/31/2023
739079,11121,8976,08/15/2022,07/31/2023
739079,11121,8975,08/15/2022,07/31/2023
739079,11199,9018,08/16/2023,07/30/2024
739079,11199,9017,08/16/2023,07/30/2024
739079,11199,9016,08/16/2023,07/30/2024
739079,11199,9019,08/16/2023,07/30/2024
739079,11199,9046,08/16/2023,07/30/2024
739079,11199,9045,08/16/2023,07/30/2024
739079,11199,9044,08/16/2023,07/30/2024
739079,11199,9043,08/16/2023,07/30/2024
739079,11457,9332,08/16/2024,07/30/2025
739079,11457,9333,08/16/2024,07/30/2025
739079,11457,9334,08/16/2024,07/30/2025
739079,11457,9331,08/16/2024,07/30/2025
739079,11909,9863,08/15/2025,07/30/2026
739079,11909,9864,08/15/2025,07/30/2026
739079,11909,9861,08/15/2025,07/30/2026
739079,11909,9862,08/15/2025,07/30/2026
739079,10894,7951,08/17/2020,07/30/2021
739079,10894,7952,08/17/2020,07/30/2021
739079,10894,7953,08/17/2020,07/30/2021
739079,10894,7954,08/17/2020,07/30/2021
739079,11020,8841,08/15/2021,07/31/2022
739079,11020,8843,08/15/2021,07/31/2022
739079,11020,8840,08/15/2021,07/31/2022
739079,11020,8842,08/15/2021,07/31/2022
739079,11020,8855,08/16/2021,07/31/2022
739079,11020,8857,08/16/2021,07/31/2022
739079,11020,8854,08/16/2021,07/31/2022
739079,11020,8856,08/16/2021,07/31/2022
739079,11910,9865,08/15/2025,07/30/2026
739079,11910,9866,08/15/2025,07/30/2026
739079,11910,9867,08/15/2025,07/30/2026
739079,11910,9868,08/15/2025,07/30/2026
739079,11009,8288,01/15/2021,05/31/2021
739079,11009,8287,01/15/2021,05/31/2021
739079,11009,8286,01/15/2021,05/31/2021
739079,11009,8285,01/15/2021,05/31/2021
739079,11458,9338,08/16/2024,07/30/2025
739079,11458,9337,08/16/2024,07/30/2025
739079,11458,9335,08/16/2024,07/30/2025
739079,11458,9336,08/16/2024,07/30/2025
739080,10891,7943,08/31/2019,08/04/2020
739080,10891,7944,08/31/2019,08/04/2020
739080,10891,7940,08/31/2019,08/04/2020
739080,10891,7942,08/31/2019,08/04/2020
739080,11004,8002,08/17/2020,12/31/2020
739080,11004,8001,08/17/2020,12/31/2020
739080,11004,8003,08/17/2020,12/31/2020
739080,11004,8004,08/17/2020,12/31/2020
739080,11005,8005,08/17/2020,05/31/2021
739080,11005,8006,08/17/2020,05/31/2021
739080,11005,8007,08/17/2020,05/31/2021
739080,11005,8008,08/17/2020,05/31/2021
739080,11008,8284,08/18/2020,12/28/2020
739080,11008,8283,08/18/2020,12/28/2020
739080,11008,8282,08/18/2020,12/28/2020
739080,11008,8281,08/18/2020,12/28/2020
739080,11096,8937,08/16/2021,01/31/2022
739080,11096,8938,08/16/2021,01/31/2022
739080,11096,8939,08/16/2021,01/31/2022
739080,11096,8940,08/16/2021,01/31/2022
739080,11037,8879,08/16/2021,12/31/2021
739080,11037,8878,08/16/2021,12/31/2021
739080,11037,8877,08/16/2021,12/31/2021
739080,11037,8876,08/16/2021,12/31/2021
739080,11121,9008,08/15/2022,07/31/2023
739080,11121,9009,08/15/2022,07/31/2023
739080,11121,8974,08/15/2022,07/31/2023
739080,11121,8973,08/15/2022,07/31/2023
739080,11121,8976,08/15/2022,07/31/2023
739080,11121,8975,08/15/2022,07/31/2023
739080,11199,9043,08/16/2023,07/30/2024
739080,11199,9018,08/16/2023,07/30/2024
739080,11199,9017,08/16/2023,07/30/2024
739080,11199,9016,08/16/2023,07/30/2024
739080,11199,9019,08/16/2023,07/30/2024
739080,11199,9046,08/16/2023,07/30/2024
739080,11199,9045,08/16/2023,07/30/2024
739080,11199,9044,08/16/2023,07/30/2024
739080,11457,9332,08/16/2024,07/30/2025
739080,11457,9333,08/16/2024,07/30/2025
739080,11457,9334,08/16/2024,07/30/2025
739080,11457,9331,08/16/2024,07/30/2025
739080,11909,9863,08/15/2025,07/30/2026
739080,11909,9864,08/15/2025,07/30/2026
739080,11909,9862,08/15/2025,07/30/2026
739080,11909,9861,08/15/2025,07/30/2026
739080,10894,7953,08/17/2020,07/30/2021
739080,10894,7954,08/17/2020,07/30/2021
739080,10894,7951,08/17/2020,07/30/2021
739080,10894,7952,08/17/2020,07/30/2021
739080,11020,8841,08/15/2021,07/31/2022
739080,11020,8843,08/15/2021,07/31/2022
739080,11020,8840,08/15/2021,07/31/2022
739080,11020,8842,08/15/2021,07/31/2022
739080,11020,8855,08/16/2021,07/31/2022
739080,11020,8857,08/16/2021,07/31/2022
739080,11020,8854,08/16/2021,07/31/2022
739080,11020,8856,08/16/2021,07/31/2022
739080,11910,9865,08/15/2025,07/30/2026
739080,11910,9866,08/15/2025,07/30/2026
739080,11910,9867,08/15/2025,07/30/2026
739080,11910,9868,08/15/2025,07/30/2026
739080,11009,8288,01/15/2021,05/31/2021
739080,11009,8286,01/15/2021,05/31/2021
739080,11009,8285,01/15/2021,05/31/2021
739080,11009,8287,01/15/2021,05/31/2021
739080,11458,9336,08/16/2024,07/30/2025
739080,11458,9337,08/16/2024,07/30/2025
739080,11458,9338,08/16/2024,07/30/2025
739080,11458,9335,08/16/2024,07/30/2025
739084,10891,7943,08/31/2019,08/04/2020
739084,10891,7944,08/31/2019,08/04/2020
739084,10891,7940,08/31/2019,08/04/2020
739084,10891,7942,08/31/2019,08/04/2020
739084,11004,8002,08/17/2020,12/31/2020
739084,11004,8001,08/17/2020,12/31/2020
739084,11004,8003,08/17/2020,12/31/2020
739084,11004,8004,08/17/2020,12/31/2020
739084,11005,8005,08/17/2020,05/31/2021
739084,11005,8006,08/17/2020,05/31/2021
739084,11005,8007,08/17/2020,05/31/2021
739084,11005,8008,08/17/2020,05/31/2021
739084,11008,8284,08/18/2020,12/28/2020
739084,11008,8283,08/18/2020,12/28/2020
739084,11008,8282,08/18/2020,12/28/2020
739084,11008,8281,08/18/2020,12/28/2020
739084,11096,8939,08/16/2021,01/31/2022
739084,11096,8937,08/16/2021,01/31/2022
739084,11096,8938,08/16/2021,01/31/2022
739084,11096,8940,08/16/2021,01/31/2022
739084,11037,8879,08/16/2021,12/31/2021
739084,11037,8878,08/16/2021,12/31/2021
739084,11037,8877,08/16/2021,12/31/2021
739084,11037,8876,08/16/2021,12/31/2021
739084,11121,8973,08/15/2022,07/31/2023
739084,11121,9009,08/15/2022,07/31/2023
739084,11121,9008,08/15/2022,07/31/2023
739084,11121,8974,08/15/2022,07/31/2023
739084,11121,8976,08/15/2022,07/31/2023
739084,11121,8975,08/15/2022,07/31/2023
739084,11199,9043,08/16/2023,07/30/2024
739084,11199,9018,08/16/2023,07/30/2024
739084,11199,9017,08/16/2023,07/30/2024
739084,11199,9016,08/16/2023,07/30/2024
739084,11199,9019,08/16/2023,07/30/2024
739084,11199,9046,08/16/2023,07/30/2024
739084,11199,9045,08/16/2023,07/30/2024
739084,11199,9044,08/16/2023,07/30/2024
739084,11457,9332,08/16/2024,07/30/2025
739084,11457,9333,08/16/2024,07/30/2025
739084,11457,9334,08/16/2024,07/30/2025
739084,11457,9331,08/16/2024,07/30/2025
739084,11909,9863,08/15/2025,07/30/2026
739084,11909,9864,08/15/2025,07/30/2026
739084,11909,9861,08/15/2025,07/30/2026
739084,11909,9862,08/15/2025,07/30/2026
739084,10894,7951,08/17/2020,07/30/2021
739084,10894,7952,08/17/2020,07/30/2021
739084,10894,7953,08/17/2020,07/30/2021
739084,10894,7954,08/17/2020,07/30/2021
739084,11020,8841,08/15/2021,07/31/2022
739084,11020,8840,08/15/2021,07/31/2022
739084,11020,8842,08/15/2021,07/31/2022
739084,11020,8843,08/15/2021,07/31/2022
739084,11020,8855,08/16/2021,07/31/2022
739084,11020,8856,08/16/2021,07/31/2022
739084,11020,8854,08/16/2021,07/31/2022
739084,11020,8857,08/16/2021,07/31/2022
739084,11910,9865,08/15/2025,07/30/2026
739084,11910,9866,08/15/2025,07/30/2026
739084,11910,9867,08/15/2025,07/30/2026
739084,11910,9868,08/15/2025,07/30/2026
739084,11009,8286,01/15/2021,05/31/2021
739084,11009,8285,01/15/2021,05/31/2021
739084,11009,8288,01/15/2021,05/31/2021
739084,11009,8287,01/15/2021,05/31/2021
739084,11458,9337,08/16/2024,07/30/2025
739084,11458,9338,08/16/2024,07/30/2025
739084,11458,9335,08/16/2024,07/30/2025
