property_id,lease_term_id,lease_term_name,lease_term_structure_id,lease_term_structure_name,web_visible
739076,10891,2019/2020,831,Campustown,FALSE
739076,11004,2020/2021 6 Month Lease,831,Campustown,FALSE
739076,11005,2020/2021 9 Month Lease,831,Campustown,FALSE
739076,11008,2020 Fall Semester,831,Campustown,FALSE
739076,11096,2021/2022 6 Month Lease,831,Campustown,FALSE
739076,11037,2021 Fall Semester,831,Campustown,FALSE
739076,11121,2022/2023,831,Campustown,FALSE
739076,11199,2023/2024,831,Campustown,FALSE
739076,11457,2024/2025,831,Campustown,TRUE
739076,11909,Annual,831,Campustown,TRUE
739076,10894,Immediate Move In 2020/2021,831,Campustown,FALSE
739076,11020,Immediate Move-In 2021/2022,831,Campustown,FALSE
739076,11910,MOMI,831,Campustown,TRUE
739076,11009,Spring Semester 2021,831,Campustown,FALSE
739076,11458,Transfer 2024/2025,831,Campustown,FALSE
739085,10888,6 months,829,1047 Commonwealth,FALSE
739085,10887,9 months,829,1047 Commonwealth,FALSE
739085,10886,12 months,829,1047 Commonwealth,FALSE
739085,10878,2019/2020,829,1047 Commonwealth,FALSE
739085,10954,2020 Lease Term,829,1047 Commonwealth,FALSE
739085,10955,2021 Lease Term,829,1047 Commonwealth,FALSE
739085,11130,2022/2023,829,1047 Commonwealth,FALSE
739085,11226,2023/2024,829,1047 Commonwealth,FALSE
739085,11529,2024/2025,829,1047 Commonwealth,TRUE
739085,12060,Academic Year,829,1047 Commonwealth,FALSE
739085,11924,Annual,829,1047 Commonwealth,TRUE
739085,11925,MOMI,829,1047 Commonwealth,TRUE
739085,11530,Transfer 2024/2025,829,1047 Commonwealth,TRUE
739079,10891,2019/2020,831,Campustown,FALSE
739079,11004,2020/2021 6 Month Lease,831,Campustown,FALSE
739079,11005,2020/2021 9 Month Lease,831,Campustown,FALSE
739079,11008,2020 Fall Semester,831,Campustown,FALSE
739079,11096,2021/2022 6 Month Lease,831,Campustown,FALSE
739079,11037,2021 Fall Semester,831,Campustown,FALSE
739079,11121,2022/2023,831,Campustown,FALSE
739079,11199,2023/2024,831,Campustown,FALSE
739079,11457,2024/2025,831,Campustown,TRUE
739079,11909,Annual,831,Campustown,TRUE
739079,10894,Immediate Move In 2020/2021,831,Campustown,FALSE
739079,11020,Immediate Move-In 2021/2022,831,Campustown,FALSE
739079,11910,MOMI,831,Campustown,TRUE
739079,11009,Spring Semester 2021,831,Campustown,FALSE
739079,11458,Transfer 2024/2025,831,Campustown,FALSE
739080,10891,2019/2020,831,Campustown,FALSE
739080,11004,2020/2021 6 Month Lease,831,Campustown,FALSE
739080,11005,2020/2021 9 Month Lease,831,Campustown,FALSE
739080,11008,2020 Fall Semester,831,Campustown,FALSE
739080,11096,2021/2022 6 Month Lease,831,Campustown,FALSE
739080,11037,2021 Fall Semester,831,Campustown,FALSE
739080,11121,2022/2023,831,Campustown,FALSE
739080,11199,2023/2024,831,Campustown,FALSE
739080,11457,2024/2025,831,Campustown,TRUE
739080,11909,Annual,831,Campustown,TRUE
739080,10894,Immediate Move In 2020/2021,831,Campustown,FALSE
739080,11020,Immediate Move-In 2021/2022,831,Campustown,FALSE
739080,11910,MOMI,831,Campustown,TRUE
739080,11009,Spring Semester 2021,831,Campustown,FALSE
739080,11458,Transfer 2024/2025,831,Campustown,FALSE
