property_id,move_out_type_id,move_out_type_name
739076,1,Eviction
739076,2,Skip
739076,4,Move Out
739085,1,Eviction
739085,2,Skip
739085,4,Move Out
739079,1,Eviction
739079,2,Skip
739079,4,Move Out
739080,1,Eviction
739080,2,Skip
739080,4,Move Out
739084,1,Eviction
739084,2,Skip
739084,4,Move Out
641240,1,Eviction
641240,2,Skip
641240,4,Move Out
676055,1,Eviction
676055,2,Skip
676055,4,Move Out
1115679,1,Eviction
1115679,2,Skip
1115679,4,Move Out
1161867,1,Eviction
1161867,2,Skip
1161867,4,Move Out
518044,1,Eviction
518044,2,Skip
518044,4,Move Out
952515,1,Eviction
952515,2,Skip
952515,4,Move Out
577897,1,Eviction
577897,2,Skip
577897,4,Move Out
518041,1,Eviction
518041,2,Skip
518041,4,Move Out
518042,1,Eviction
518042,2,Skip
518042,4,Move Out
1197886,1,Eviction
1197886,2,Skip
1197886,4,Move Out
833617,1,Eviction
833617,2,Skip
833617,4,Move Out
1197887,1,Eviction
1197887,2,Skip
1197887,4,Move Out
518046,1,Eviction
518046,2,Skip
518046,4,Move Out
100064798,1,Eviction
100064798,2,Skip
100064798,4,Move Out
1143679,1,Eviction
1143679,2,Skip
1143679,4,Move Out
1311849,1,Eviction
1311849,2,Skip
1311849,4,Move Out
