property_id,property_name
739076,1008 S. 4th
739085,1047 Commonwealth Avenue
739079,307 E. Daniel
739080,501 S. 6th
739084,908 S. 1st
641240,Academy 65
676055,Academy Lincoln
1115679,ANOVA uCity Square
1161867,Courts at Spring Mill Station
518044,Shortbread Lofts
952515,SOVA
577897,Station Nine
518041,The Academy at Frisco
518042,The Academy on Charles
1197886,The Caswell at Runnymeade
833617,The Dean Campustown
1197887,The Dean Reno
518046,The Rise at Northgate
100064798,The Stretch
1143679,Torre
1311849,Venue at North Campus
