property_id,unit_type_id,unit_type_name
739076,621428,B1
739076,621423,D1 Balcony
739076,621424,D2
739076,621425,B4
739076,621426,C1
739076,621427,M1 Murphy
739076,621419,S1
739076,621420,B5
739076,621421,B3
739076,621422,M1 Murphy Balcony
739076,621429,B2
739076,621430,D1
739076,621431,S2
739076,621432,D3 Balcony
739085,619621,S9
739085,619623,S6
739085,619626,S2
739085,619625,S5
739085,619620,S7
739085,619627,S8
739085,619617,S1
739085,619622,S4
739085,619619,S10
739085,619618,S3
739085,622540,S11
739079,622031,D1
739080,621985,C2
739080,621986,D1
739080,621987,B1
739080,621988,C1
739080,621989,D2
739080,621990,B2
739080,621991,E1 Townhome
739080,621992,E2 Townhome
739080,621993,D3 Townhome
739084,621892,B2
739084,621894,B3
739084,621896,D1
739084,621893,M1 Murphy
739084,621895,M2 Murphy
739084,621897,B1
739084,621890,A1
739084,621891,M1 Murphy Balcony
641240,618405,D3
641240,619365,C1 Study
641240,623734,D2
641240,618411,D3 Semi-Shared
641240,618392,B1 Semi-Shared
641240,618397,B1
641240,618400,D1 Balcony
641240,618387,S2
641240,618382,S1
641240,618377,A1
676055,619247,B2
676055,619248,D1
676055,619250,D2
676055,619226,C1
676055,619229,B3 Townhome
676055,619224,B1
1115679,623463,B1
1115679,623461,B2
1115679,623465,C1
1115679,623458,S1
1115679,623462,A1
1115679,623459,A2
1115679,623467,A3
1115679,623469,A4
1115679,623464,A5
1115679,623468,A6
1115679,623466,A7
1115679,623460,A8
1161867,623876,Default Unit Type
1161867,623899,1Bed1.5 Bath w/ Den
1161867,623902,COMMERCIAL
1161867,623903,Studio
1161867,623904,1 Bed 1 Bath Loft
1161867,623905,2Bed2Bath Loftw/ Den
1161867,623898,2 Bed 2 Bath ADA
1161867,623895,1 Bed 1 Bath ADA
1161867,623901,1Bed1Bath Loftw/ Den
1161867,623893,2 Bed 2 Bath w/ Den
1161867,623897,1 Bed 1 Bath w/ Den
1161867,623894,2 Bed 2 Bath
1161867,623896,1 Bed 1 Bath
1161867,623900,2 Bed 2 Bath Loft
518044,612577,B2
