property_id,property_name,parent_property_id,property_type,property_status,property_website,property_email,property_phone_number,property_address,property_description,portfolio_id,partner_id
518041,The Academy at Frisco,NA,Student,Active,http://www.theacademyatfrisco.com,info@theacademyatfrisco.com,NA,"413 N West Ave, Fayetteville, AR 72701, US","Perfectly located near the University of Arkansas, our vibrant community is the ideal place for students. Our apartment homes are available in studio, one, two, three, and four bedroom floor plans and feature a variety of designer-inspired finishes. Our impeccable community amenities are sure to provide everything you need to succeed at the University of Arkansas, while also enjoying a five-star living experience!",3,3
518042,The Academy on Charles,NA,Student,Active,http://www.theacademyoncharles.com,info@theacademyoncharles.com,+14435632231,"3700 N Charles St, Baltimore, MD 21218, US",The Academy® is the place for students who want a luxurious sanctuary for studying and focusing on course work combined with a social community and amenities that are both fun and engaging. Elevate your off campus housing experience to new heightsand live with us at The Academy® on Charles.,5,5
518044,Shortbread Lofts,NA,Student,Active,http://shortbreadlofts.com,info@shortbreadlofts.com,+19199047640,"333 W Rosemary Street, Chapel Hill, NC 27516, US","With resort-quality amenities and exceptionally chic lofts for rent in Downtown Chapel Hill, students enjoy access to on-site resources and tools for success. Kick back and relax on the rooftop terrace by the fire pit; exercise in the 24-hour fitness center; or prep for a final exam in one of our private or group study spaces. You can study hard and live well just minutes from the UNC campus.",6,4
518046,The Rise at Northgate,NA,Student,Active,http://www.riseatnorthgate.com,info@riseatnorthgate.com,NA,"717 University Dr, College Station, TX 77840, US","With our first-class amenities and premier location, we offer a supportive and fun community where students will find everything they need to be successful, happy, and healthy. You will enjoy everything from inviting social opportunities to a fully equipped study center that are both designed to add value and joy to your daily life.",3,3
577897,Station Nine,NA,Apartment,Active,https://www.stationnine.com/,leasing@stationnine.com,+19192863800,"2211 Hillsborough Rd, Durham, NC 27705, US","Modern, Loft-Style Luxury Apartments in Durham, NC",6,4
641240,Academy 65,NA,Student,Active,https://www.academy65.com,info@academy65.com,+19165271325,"1325 65th St, Sacramento, CA 95819, US","Academy 65™ offers a first class amenity package, steps from California State University- Sacramento, with an outdoor rooftop terrace including grilling stations, a large hot tub, fire pit and gaming area, a 24-hour fitness center & motion studio, and game room/resident lounge. The community amenities are complimented by fully-furnished apartments featuring a flat screen HDTV, quartz counter tops, stainless steel energy-efficient appliances, in-unit washer and dryer and hardwood-style flooring. Find your new hive at Academy 65™.",2,1
676055,Academy Lincoln,NA,Student,Active,https://www.academylincoln.com/academy-lincoln-lincoln-nebraska/,info@academylincoln.com,+14028589334,"1850 P Street, Lincoln, NE 68508, US","Welcome to Academy Lincoln™, previously known as Aspen Lincoln, a student community featuring two, three, and four bedroom apartments in Lincoln, NE. Apartments feature spacious layouts & upscale finishes along with exceptional service and an ideal location steps from University of Nebraska-Lincoln campus and O Street. Beautifully landscaped courtyards, resort pool and more welcome you home.",2,1
739076,1008 S. 4th,NA,Student,Active,https://www.theacademycampustown.com/,info@theacademycampustown.com,NA,"1008 S. 4th, Champaign, IL 61820, US","The Academy® Campustown is made up of four individual communities: 908 S First, 501 S Sixth, 307 E Daniel, 1008 S Fourth. All properties are located in Champaign, IL in the sought after Campustown neighborhood. Each community has luxury finishes like stainless steel appliances, walk-in tile showers, modern flooring and more. These are all popular units among University of Illinois at Urbana, Champaign college students.",2,1
739079,307 E. Daniel,739076,Student,Active,https://www.theacademycampustown.com/,info@theacademycampustown.com,NA,"307 E. Daniel, Champaign, IL 61820, US","The Academy® Campustown is made up of four individual communities: 908 S First, 501 S Sixth, 307 E Daniel, 1008 S Fourth. All properties are located in Champaign, IL in the sought after Campustown neighborhood. Each community has luxury finishes like stainless steel appliances, walk-in tile showers, modern flooring and more. These are all popular units among University of Illinois at Urbana, Champaign college students.",2,1
739080,501 S. 6th,739076,Student,Active,https://www.theacademycampustown.com/,Info@theacademycampustown.com,NA,"501 S. 6th, Champaign, IL 61820, US","The Academy® Campustown is made up of four individual communities: 908 S First, 501 S Sixth, 307 E Daniel, 1008 S Fourth. All properties are located in Champaign, IL in the sought after Campustown neighborhood. Each community has luxury finishes like stainless steel appliances, walk-in tile showers, modern flooring and more. These are all popular units among University of Illinois at Urbana, Champaign college students.",2,1
