property_name,unit_type,excluded_units,rentable_units,avg_scheduled_charges,current_occupied,prior_total_new,current_total_new,prior_renewal,current_renewal,prior_total_leases,current_total_leases,prior_pre_lease_pct,current_pre_lease_pct,yoy_variance_pct,projected_availability
1047 Commonwealth Avenue,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047 Commonwealth Avenue,S1,0,25,2783,25,12,13,13,12,25,25,1,1,0,0
1047 Commonwealth Avenue,S2,0,12,2923.75,11,7,6,4,6,11,12,0.9166666666666666,1,0.08333333333333337,0
1047 Commonwealth Avenue,S3,0,51,2986.25,51,20,8,19,16,39,24,0.7647058823529411,0.47058823529411764,-0.2941176470588235,27
1047 Commonwealth Avenue,S4,0,8,2946.875,8,6,4,2,4,8,8,1,1,0,0
1047 Commonwealth Avenue,S5,0,10,3060,10,4,4,3,4,7,8,0.7,0.8,0.10000000000000009,2
1047 Commonwealth Avenue,S6,0,29,3236.904761904762,29,9,11,10,10,19,21,0.6551724137931034,0.7241379310344828,0.06896551724137934,8
1047 Commonwealth Avenue,S7,0,4,3280,4,0,1,1,1,1,2,0.25,0.5,0.25,2
1047 Commonwealth Avenue,S8,0,11,3381.6666666666665,11,0,0,6,3,6,3,0.5454545454545454,0.2727272727272727,-0.2727272727272727,8
1047 Commonwealth Avenue,S9,0,5,0,5,0,0,2,0,2,0,0.4,0,-0.4,5
1047 Commonwealth Avenue,S10,0,4,4047.5,4,0,0,1,2,1,2,0.25,0.5,0.25,2
1047 Commonwealth Avenue,S11,0,24,863.8181818181819,24,5,4,0,7,5,11,0.20833333333333334,0.4583333333333333,0.24999999999999997,13
307 E. Daniel,D1,0,40,957.8205128205128,40,34,23,5,16,39,39,0.975,0.975,0,1
501 S. 6th,B1,0,2,895,2,2,0,0,2,2,2,1,1,0,0
501 S. 6th,B2,0,2,915,2,2,0,0,2,2,2,1,1,0,0
501 S. 6th,C1,0,12,931.6666666666666,12,9,12,3,0,12,12,1,1,0,0
501 S. 6th,C2,0,12,966.25,12,12,9,0,3,12,12,1,1,0,0
501 S. 6th,D1,0,16,706.875,16,16,3,0,13,16,16,1,1,0,0
501 S. 6th,D2,0,16,711.25,16,5,8,11,8,16,16,1,1,0,0
501 S. 6th,D3 Townhome,0,4,825,4,1,4,2,0,3,4,0.75,1,0.25,0
501 S. 6th,E1 Townhome,0,20,791.5,20,15,8,3,12,18,20,0.9,1,0.09999999999999998,0
501 S. 6th,E2 Townhome,0,20,806.1111111111111,19,11,4,5,14,16,18,0.8,0.9,0.09999999999999998,2
908 S. 1st,A1,0,16,1391.875,15,10,12,4,4,14,16,0.875,1,0.125,0
908 S. 1st,B1,0,8,874.375,8,7,6,0,2,7,8,0.875,1,0.125,0
908 S. 1st,B2,0,16,886.25,16,14,10,2,6,16,16,1,1,0,0
