xl_file,property_name,unit_type,excluded_units,rentable_units,avg_scheduled_charges,current_occupied,prior_total_new,current_total_new,prior_renewal,current_renewal,prior_total_leases,current_total_leases,prior_pre_lease_pct,current_pre_lease_pct,yoy_variance_pct,projected_availability
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,B1,0,8,942.5,8,6,5,2,3,8,8,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,B2,0,8,925,8,6,3,2,5,8,8,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,B3,0,10,1059.5,10,9,6,1,4,10,10,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,B4,0,2,1106.6666666666667,2,2,1,0,2,2,3,1,1.5,0.5,-1
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,B5,0,2,1110,2,2,2,0,0,2,2,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,C1,0,12,879.1666666666666,12,8,9,2,3,10,12,0.8333333333333334,1,0.16666666666666663,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,D1,0,16,811.25,16,16,7,0,9,16,16,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,D1 Balcony,0,16,804.375,16,15,12,0,4,15,16,0.9375,1,0.0625,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,D2,0,48,875.2083333333334,46,39,32,8,16,47,48,0.9791666666666666,1,0.02083333333333337,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,D3 Balcony,0,12,944.1666666666666,12,12,10,0,2,12,12,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,M1 Murphy,0,4,1085,2,3,3,1,1,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,M1 Murphy Balcony,0,12,1180.8333333333333,9,9,10,2,2,11,12,0.9166666666666666,1,0.08333333333333337,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,S1,0,4,1322.5,4,3,3,1,1,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1008 S. 4Th,S2,0,4,1267.5,4,2,2,2,2,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S1,0,25,2783,25,12,13,13,12,25,25,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S2,0,12,2923.75,11,7,6,4,6,11,12,0.9166666666666666,1,0.08333333333333337,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S3,0,51,3001.1290322580644,51,28,16,20,15,48,31,0.9411764705882353,0.6078431372549019,-0.33333333333333337,20
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S4,0,8,2619.4444444444443,8,6,5,2,4,8,9,1,1.125,0.125,-1
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S5,0,10,3081,10,5,6,3,4,8,10,0.8,1,0.19999999999999996,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S6,0,29,3267.8571428571427,29,17,18,11,10,28,28,0.9655172413793104,0.9655172413793104,0,1
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S7,0,4,3337.5,4,3,2,1,2,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S8,0,11,3381.6666666666665,11,0,0,6,3,6,3,0.5454545454545454,0.2727272727272727,-0.2727272727272727,8
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S9,0,5,3950,5,3,2,2,0,5,2,1,0.4,-0.6,3
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,1047 Commonwealth Avenue,S10,0,4,4047.5,4,1,0,1,2,2,2,0.5,0.5,0,2
