endpoint,method,parameter,type,required,multiple,description
customers,getCustomers,propertyId,string,TRUE,FALSE,This is a required field. This field accepts single value for the Property ID.
customers,getCustomers,companyIdentificationTypeIds,integer,FALSE,TRUE,This is an optional field. This field accepts comma seperated multiple values. company Identification type IDs.
customers,getCustomers,customerIds,string,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for the Customer IDs.
customers,getCustomers,isAgreedToTermsOnly,boolean_string,FALSE,FALSE,This is an optional field. This field accepts single value.`isAgreedToTermsOnly` returns the date when a customer has agreed to the Terms and Conditions of Entrata resident portal.
customers,getCustomers,leaseStatusTypeIds,string,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for the Lease Status Type IDs.
financial,getBudgetActuals,accountingMethod,string,TRUE,FALSE,This is a required field. This field accepts a single value for the Accounting Method.
financial,getBudgetActuals,budgetId,integer,TRUE,FALSE,This is a required field. This field accepts a single value for Budget ID.
financial,getBudgetActuals,glTreeId,integer,TRUE,FALSE,This is a required field. This field accepts a single value for GL Tree ID.
financial,getBudgetActuals,postMonthFrom,string,TRUE,FALSE,This is a required field. This field accepts a single value in the format MM/YYYY for the start month.
financial,getBudgetActuals,postMonthTo,string,TRUE,FALSE,This is a required field. This field accepts a single value in the format MM/YYYY for the end month.
financial,getBudgetActuals,propertyId,string,TRUE,FALSE,This is a required field. This field accepts single value for `propertyId`.
financial,getBudgetActuals,budgetStatusTypeId,integer,FALSE,FALSE,This is an optional field. This field accepts a single value for Budget Status Type ID.
financial,getBudgetActuals,glBookTypeIds,integer,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for GL Book Type IDs.
financial,getBudgets,propertyId,string,TRUE,FALSE,This is a required field. This field accepts a single value for `propertyId`.
financial,getBudgets,budgetIds,string,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for the Budget IDs.
financial,getBudgets,budgetStatusTypeIds,string,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for the Budget Status Type IDs.
financial,getBudgets,fiscalYears,string,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for the Fiscal Years.
leases,getLeaseDetails,leaseId,integer,TRUE,FALSE,This is a required field. This field accepts a single value for the Lease ID.
leases,getLeaseDetails,propertyId,string,TRUE,FALSE,This is a required field. This field accepts a single value for the Property ID.
leases,getLeaseDetails,includeAddOns,boolean_string,FALSE,FALSE,"This is an optional field. This field accepts a single value. If provided, it will include lease add-ons."
leases,getLeaseDetails,includeCharge,boolean_string,FALSE,FALSE,"This is an optional field. This field accepts a single value. If provided, it will include charges."
leases,getLeaseDetails,leaseStatusTypeIds,integer,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for Lease Status Type IDs.
leases,getLeaseDocuments,leaseId,integer,TRUE,FALSE,This is a required field. This field accepts a single value for the Lease ID.
leases,getLeaseDocuments,propertyId,integer,TRUE,FALSE,This is a required field. This field accepts a single value for the Property ID.
leases,getLeaseDocuments,addedOnFromDate,date,FALSE,FALSE,This is an optional field. This field accepts a single value for the Added On date (start).
leases,getLeaseDocuments,documentIds,integer,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for Document IDs.
leases,getLeaseDocuments,externalLeaseId,string,FALSE,FALSE,This is an optional field. This field accepts a single value for the external Lease ID.
leases,getLeaseDocuments,fileTypesCode,string,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for file types (system codes).
leases,getLeaseDocuments,showDeletedFile,boolean_string,FALSE,FALSE,"This is an optional field. This field accepts a single value. If provided, it will return deleted files."
leases,getLeaseDocumentsList,leaseId,integer,TRUE,FALSE,This is a required field. This field accepts a single value for the Lease ID.
leases,getLeaseDocumentsList,propertyId,string,TRUE,FALSE,This is a required field. This field accepts a single value for the Property ID.
leases,getLeaseDocumentsList,externalLeaseId,string,FALSE,FALSE,This is an optional field. This field accepts a single value for the external Lease ID.
leases,getLeaseDocumentsList,fileTypesCode,string,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for file types (system codes).
leases,getLeaseDocumentsList,leaseStatusTypeIds,integer,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for Lease Status Type IDs.
leases,getLeaseDocumentsList,showDeletedFile,boolean_string,FALSE,FALSE,"This is an optional field. This field accepts a single value. If provided, it will return deleted files."
leases,getLeases,propertyId,string,TRUE,FALSE,This is a required field. This field accepts a single value for the Property ID.
leases,getLeases,applicationId,integer,FALSE,FALSE,This is an optional field. This field accepts a single value for the Application ID.
leases,getLeases,buildingName,string,FALSE,FALSE,This is an optional field. This field accepts a single value for the Building Name.
leases,getLeases,customerId,integer,FALSE,FALSE,This is an optional field. This field accepts a single value for the Customer ID.
leases,getLeases,includeArTransactions,boolean_string,FALSE,FALSE,"This is an optional field. This field accepts a single value. If provided, it will return the AR Transactions associated with the lease."
leases,getLeases,includeLeaseHistory,boolean_string,FALSE,FALSE,"This is an optional field. This field accepts a single value. If provided, lease history will be included."
leases,getLeases,includeOtherIncomeLeases,boolean_string,FALSE,FALSE,"This is an optional field. This field accepts a single value. If provided, this will include leases with other income."
leases,getLeases,leaseExpiringDateFrom,date,FALSE,FALSE,This is an optional field. This field accepts a single value for the Lease Expiring Date (start).
leases,getLeases,leaseExpiringDateTo,date,FALSE,FALSE,This is an optional field. This field accepts a single value for the Lease Expiring Date (end).
leases,getLeases,leaseIds,integer,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for Lease IDs.
leases,getLeases,leaseStatusTypeIds,integer,FALSE,TRUE,This is an optional field. This field accepts comma separated multiple values for Lease Status Type IDs.
leases,getLeases,moveInDateFrom,date,FALSE,FALSE,This is an optional field. This field accepts a single value for the start Move-in Date.
leases,getLeases,moveInDateTo,date,FALSE,FALSE,This is an optional field. This field accepts a single value for the end Move-in Date.
leases,getLeases,moveOutDateFrom,date,FALSE,FALSE,This is an optional field. This field accepts a single value for the Move-out Date (start).
