report_date,property_id,property_name,investment_partner,total_beds,model_beds,current_occupied,current_occupancy,current_total_new,current_total_renewals,current_total_leases,current_preleased_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_preleased_percent,yoy_variance_count,yoy_variance_percent,weekly_new,weekly_renewal,weekly_total,weekly_percent_gained,beds_left,vel_90,vel_95,vel_100
2025-02-11,518041,The Academy at Frisco,AEW,640,4,634,0.990625,319,255,574,0.896875,259,316,575,0.8984375,-1,-0.00156250000000002,3,2,5,0.0078125,66,2.475,2.6125,2.75
2025-02-11,739079,307 E. Daniel,AGC,40,0,40,1,26,11,37,0.925,22,15,37,0.925,0,0,0,0,0,0,3,0.1125,0.11874999999999998,0.125
2025-02-11,739080,501 S. 6th,AGC,104,0,104,1,82,17,99,0.9519230769230769,44,51,95,0.9134615384615384,4,0.038461538461538436,NA,NA,NA,NA,5,0.1875,0.19791666666666666,0.20833333333333334
2025-02-11,739084,908 S. 1st,AGC,96,0,92,0.9583333333333334,62,22,84,0.875,53,34,87,0.90625,-3,-0.03125,2,1,3,0.03125,12,0.45,0.4749999999999999,0.5
2025-02-11,641240,Academy 65,AGC,309,4,307,0.9935275080906149,18,95,113,0.3656957928802589,10,50,60,0.1941747572815534,53,0.1715210355987055,4,1,5,0.016181229773462782,196,7.3500000000000005,7.758333333333333,8.166666666666666
2025-02-11,676055,Academy Lincoln,AGC,632,4,624,0.9873417721518988,251,180,431,0.6819620253164557,227,190,417,0.6598101265822784,14,0.022151898734177222,9,2,11,0.01740506329113924,201,7.5375000000000005,7.95625,8.375
2025-02-11,1115679,ANOVA uCity Square,CBRE,461,2,425,0.9219088937093276,57,39,96,0.20824295010845986,88,27,115,0.24945770065075923,-19,-0.041214750542299367,0,11,11,0.02386117136659436,365,13.6875,14.447916666666666,15.208333333333334
2025-02-11,1161867,Courts at Spring Mill Station,Principal,386,2,359,0.9300518134715026,60,130,190,0.49222797927461137,68,112,180,0.46632124352331605,10,0.025906735751295318,2,14,16,0.04145077720207254,196,7.3500000000000005,7.758333333333333,8.166666666666666
2025-02-11,518044,Shortbread Lofts,Principal,374,3,374,1,346,25,371,0.9919786096256684,332,25,357,0.9545454545454546,14,0.03743315508021383,2,0,2,0.0053475935828877,3,0.1125,0.11874999999999998,0.125
2025-02-11,952515,SOVA,CBRE,816,4,813,0.9963235294117647,63,330,393,0.48161764705882354,187,300,487,0.5968137254901961,-94,-0.11519607843137253,6,6,12,0.014705882352941176,423,15.862499999999999,16.74375,17.625
2025-02-11,577897,Station Nine,Principal,323,1,308,0.9535603715170279,55,10,65,0.20123839009287925,56,6,62,0.19195046439628483,3,0.009287925696594423,3,1,4,0.01238390092879257,258,9.675,10.2125,10.75
2025-02-11,518042,The Academy on Charles,JHU,328,4,327,0.9969512195121951,89,72,161,0.49085365853658536,122,113,235,0.7164634146341463,-74,-0.22560975609756095,0,1,1,0.003048780487804878,167,6.2625,6.610416666666667,6.958333333333333
2025-02-11,1197886,The Caswell at Runnymeade,AEW,247,1,215,0.8704453441295547,84,61,145,0.5870445344129555,93,0,93,0.3765182186234818,52,0.21052631578947367,2,3,5,0.020242914979757085,102,3.8249999999999997,4.0375,4.25
2025-02-11,833617,The Dean Campustown,AGC,672,4,657,0.9776785714285714,231,234,465,0.6919642857142857,229,233,462,0.6875,3,0.004464285714285698,1,4,5,0.00744047619047619,207,7.7625,8.19375,8.625
2025-02-11,1197887,The Dean Reno,CRG and Canyon,773,6,665,0.8602846054333765,217,209,426,0.5510996119016818,169,95,264,0.34152652005174644,162,0.20957309184993533,12,9,21,0.027166882276843468,347,13.012500000000001,13.735416666666666,14.458333333333334
2025-02-11,518046,The Rise at Northgate,AEW,465,0,465,1,160,230,390,0.8387096774193549,156,262,418,0.8989247311827957,-28,-0.06021505376344083,2,0,2,0.004301075268817204,75,2.8125,2.96875,3.125
2025-02-11,1143679,Torre,CBRE,558,6,501,0.8978494623655914,166,176,342,0.6129032258064516,261,118,379,0.6792114695340502,-37,-0.06630824372759858,2,1,3,0.005376344086021506,216,8.1,8.549999999999999,9
2025-02-11,1311849,Venue at North Campus,CBRE,734,0,640,0.8719346049046321,76,184,260,0.3542234332425068,175,193,368,0.5013623978201635,-108,-0.14713896457765663,10,9,19,0.025885558583106268,474,17.775000000000002,18.7625,19.75
2025-02-11,100064798,The Stretch,CBRE,533,0,511,0.9587242026266416,71,125,196,0.3677298311444653,342,180,522,0.9793621013133208,-326,-0.6116322701688555,0,1,1,0.001876172607879925,337,12.637500000000001,13.339583333333332,14.041666666666666
2025-02-11,739085,1047 Commonwealth Avenue,AGC,183,0,169,0.9234972677595629,11,41,52,0.28415300546448086,20,51,71,0.3879781420765027,-19,-0.10382513661202186,2,0,2,0.01092896174863388,131,4.9125000000000005,5.185416666666666,5.458333333333333
2025-02-11,739076,1008 S. 4th,AGC,158,0,154,0.974683544303797,100,55,155,0.981012658227848,99,50,149,0.943037974683544,6,0.0379746835443038,NA,NA,NA,NA,3,0.1125,0.11875,0.125
