report_date,property_id,property_name,investment_partner,total_beds,model_beds,current_occupied,current_occupancy,current_total_new,current_total_renewals,current_total_leases,current_preleased_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_preleased_percent,yoy_variance_count,yoy_variance_percent,weekly_new,weekly_renewal,weekly_total,weekly_percent_gained,beds_left,vel_90,vel_95,vel_100
2025-02-12,518041,The Academy at Frisco,AEW,640,4,634,0.990625,320,255,575,0.8984375,259,316,575,0.8984375,0,0,4,2,6,0.009375,65,2.0172413793103448,2.1293103448275863,2.2413793103448274
2025-02-12,518042,The Academy on Charles,JHU,328,4,327,0.9969512195121951,90,72,162,0.49390243902439024,124,113,237,0.7225609756097561,-75,-0.22865853658536586,1,0,1,0.003048780487804878,166,5.151724137931034,5.437931034482759,5.724137931034483
2025-02-12,518044,Shortbread Lofts,Principal,374,3,374,1,346,25,371,0.9919786096256684,333,25,358,0.9572192513368984,13,0.034759358288770054,2,0,2,0.0053475935828877,3,0.09310344827586207,0.09827586206896552,0.10344827586206896
2025-02-12,518046,The Rise at Northgate,AEW,465,0,465,1,162,230,392,0.843010752688172,157,262,419,0.9010752688172043,-27,-0.05806451612903226,3,0,3,0.0064516129032258064,73,2.2655172413793103,2.3913793103448278,2.5172413793103448
2025-02-12,577897,Station Nine,Principal,323,1,307,0.9504643962848297,56,11,67,0.20743034055727555,56,6,62,0.19195046439628483,5,0.015479876160990712,4,2,6,0.018575851393188854,256,7.944827586206896,8.386206896551725,8.827586206896552
2025-02-12,641240,Academy 65,AGC,309,4,307,0.9935275080906149,19,95,114,0.36893203883495146,10,53,63,0.20388349514563106,51,0.1650485436893204,2,0,2,0.006472491909385114,195,6.051724137931035,6.387931034482759,6.724137931034483
2025-02-12,676055,Academy Lincoln,AGC,632,4,624,0.9873417721518988,253,180,433,0.685126582278481,230,190,420,0.6645569620253164,13,0.020569620253164556,10,1,11,0.01740506329113924,199,6.175862068965517,6.518965517241379,6.862068965517241
2025-02-12,739076,1008 S. 4th,AGC,158,0,154,0.9746835443037974,100,55,155,0.9810126582278481,99,50,149,0.9430379746835443,6,0.0379746835443038,0,0,0,0,3,0.09310344827586207,0.09827586206896552,0.10344827586206896
2025-02-12,739079,307 E. Daniel,AGC,40,0,40,1,26,11,37,0.925,22,15,37,0.925,0,0,0,0,0,0,3,0.09310344827586207,0.09827586206896552,0.10344827586206896
2025-02-12,739080,501 S. 6th,AGC,104,0,104,1,82,17,99,0.9519230769230769,44,51,95,0.9134615384615384,4,0.038461538461538464,0,0,0,0,5,0.15517241379310345,0.16379310344827586,0.1724137931034483
2025-02-12,739084,908 S. 1st,AGC,96,0,92,0.9583333333333334,62,22,84,0.875,53,34,87,0.90625,-3,-0.03125,2,0,2,0.020833333333333332,12,0.3724137931034483,0.3931034482758621,0.41379310344827586
2025-02-12,739085,1047 Commonwealth Avenue,AGC,183,0,169,0.9234972677595629,11,41,52,0.28415300546448086,20,51,71,0.3879781420765027,-19,-0.10382513661202186,2,0,2,0.01092896174863388,131,4.06551724137931,4.291379310344827,4.517241379310345
2025-02-12,833617,The Dean Campustown,AGC,672,4,657,0.9776785714285714,232,234,466,0.6934523809523809,229,233,462,0.6875,4,0.005952380952380952,2,2,4,0.005952380952380952,206,6.393103448275862,6.748275862068965,7.103448275862069
2025-02-12,952515,SOVA,CBRE,816,4,813,0.9963235294117647,63,330,393,0.48161764705882354,186,300,486,0.5955882352941176,-93,-0.11397058823529412,5,4,9,0.011029411764705883,423,13.127586206896552,13.856896551724137,14.586206896551724
2025-02-12,1115679,ANOVA uCity Square,CBRE,461,2,425,0.9219088937093276,57,45,102,0.22125813449023862,88,27,115,0.24945770065075923,-13,-0.028199566160520606,0,17,17,0.0368763557483731,359,11.141379310344828,11.760344827586207,12.379310344827585
2025-02-12,1143679,Torre,CBRE,558,6,501,0.8978494623655914,167,178,345,0.6182795698924731,262,118,380,0.6810035842293907,-35,-0.06272401433691756,3,2,5,0.008960573476702509,213,6.610344827586207,6.977586206896552,7.344827586206897
2025-02-12,1161867,Courts at Spring Mill Station,Principal,386,2,359,0.9300518134715026,63,133,196,0.5077720207253886,68,112,180,0.46632124352331605,16,0.04145077720207254,4,14,18,0.046632124352331605,190,5.896551724137931,6.224137931034483,6.551724137931035
2025-02-12,1197886,The Caswell at Runnymeade,AEW,247,1,215,0.8704453441295547,84,61,145,0.5870445344129555,94,0,94,0.3805668016194332,51,0.20647773279352227,2,2,4,0.016194331983805668,102,3.1655172413793102,3.3413793103448275,3.5172413793103448
2025-02-12,1197887,The Dean Reno,CRG and Canyon,773,6,665,0.8602846054333765,223,213,436,0.5640362225097024,170,96,266,0.34411384217335056,170,0.21992238033635186,16,12,28,0.03622250970245795,337,10.458620689655172,11.039655172413793,11.620689655172415
2025-02-12,1311849,Venue at North Campus,CBRE,734,0,640,0.8719346049046321,77,183,260,0.3542234332425068,176,195,371,0.5054495912806539,-111,-0.15122615803814715,13,10,23,0.031335149863760216,474,14.710344827586207,15.527586206896551,16.344827586206897
2025-02-12,100064798,The Stretch,CBRE,533,0,511,0.9587242026266416,71,127,198,0.3714821763602251,342,180,522,0.9793621013133208,-324,-0.6078799249530957,0,3,3,0.005628517823639775,335,10.39655172413793,10.974137931034482,11.551724137931034
2025-02-13,518041,The Academy at Frisco,AEW,640,4,634,0.990625,319,257,576,0.9,259,316,575,0.8984375,1,0.0015625,4,4,8,0.0125,64,1.986206896551724,2.096551724137931,2.206896551724138
2025-02-13,518042,The Academy on Charles,JHU,328,4,327,0.9969512195121951,90,72,162,0.49390243902439024,126,113,239,0.7286585365853658,-77,-0.2347560975609756,1,0,1,0.003048780487804878,166,5.151724137931034,5.437931034482759,5.724137931034483
2025-02-13,518044,Shortbread Lofts,Principal,374,3,374,1,346,25,371,0.9919786096256684,333,25,358,0.9572192513368984,13,0.034759358288770054,1,0,1,0.00267379679144385,3,0.09310344827586207,0.09827586206896552,0.10344827586206896
2025-02-13,518046,The Rise at Northgate,AEW,465,0,465,1,163,230,393,0.8451612903225807,159,262,421,0.9053763440860215,-28,-0.060215053763440864,3,0,3,0.0064516129032258064,72,2.2344827586206897,2.3586206896551722,2.4827586206896552
2025-02-13,577897,Station Nine,Principal,323,1,306,0.9473684210526315,57,15,72,0.22291021671826625,60,6,66,0.2043343653250774,6,0.018575851393188854,4,11,15,0.04643962848297214,251,7.789655172413793,8.222413793103449,8.655172413793103
2025-02-13,641240,Academy 65,AGC,309,4,307,0.9935275080906149,19,97,116,0.37540453074433655,10,56,66,0.21359223300970873,50,0.16181229773462782,3,2,5,0.016181229773462782,193,5.989655172413793,6.322413793103448,6.655172413793103
2025-02-13,676055,Academy Lincoln,AGC,632,4,624,0.9873417721518988,254,180,434,0.6867088607594937,231,190,421,0.6661392405063291,13,0.020569620253164556,10,0,10,0.015822784810126583,198,6.144827586206897,6.486206896551724,6.827586206896552
2025-02-13,739076,1008 S. 4th,AGC,158,0,154,0.9746835443037974,101,55,156,0.9873417721518988,99,50,149,0.9430379746835443,7,0.04430379746835443,1,0,1,0.006329113924050633,2,0.06206896551724138,0.06551724137931035,0.06896551724137931
2025-02-13,739079,307 E. Daniel,AGC,40,0,40,1,26,11,37,0.925,22,15,37,0.925,0,0,0,0,0,0,3,0.09310344827586207,0.09827586206896552,0.10344827586206896
2025-02-13,739080,501 S. 6th,AGC,104,0,104,1,82,17,99,0.9519230769230769,44,51,95,0.9134615384615384,4,0.038461538461538464,0,0,0,0,5,0.15517241379310345,0.16379310344827586,0.1724137931034483
2025-02-13,739084,908 S. 1st,AGC,96,0,92,0.9583333333333334,62,22,84,0.875,53,34,87,0.90625,-3,-0.03125,2,0,2,0.020833333333333332,12,0.3724137931034483,0.3931034482758621,0.41379310344827586
2025-02-13,739085,1047 Commonwealth Avenue,AGC,183,0,169,0.9234972677595629,12,41,53,0.2896174863387978,20,51,71,0.3879781420765027,-18,-0.09836065573770492,3,0,3,0.01639344262295082,130,4.0344827586206895,4.258620689655173,4.482758620689655
2025-02-13,833617,The Dean Campustown,AGC,672,4,657,0.9776785714285714,232,234,466,0.6934523809523809,232,233,465,0.6919642857142857,1,0.001488095238095238,2,2,4,0.005952380952380952,206,6.393103448275862,6.748275862068965,7.103448275862069
2025-02-13,952515,SOVA,CBRE,816,4,813,0.9963235294117647,63,330,393,0.48161764705882354,188,301,489,0.5992647058823529,-96,-0.11764705882352941,5,4,9,0.011029411764705883,423,13.127586206896552,13.856896551724137,14.586206896551724
2025-02-13,1115679,ANOVA uCity Square,CBRE,461,2,425,0.9219088937093276,57,46,103,0.22342733188720174,88,27,115,0.24945770065075923,-12,-0.026030368763557483,0,25,25,0.05422993492407809,358,11.110344827586207,11.727586206896552,12.344827586206897
2025-02-13,1143679,Torre,CBRE,558,6,501,0.8978494623655914,167,178,345,0.6182795698924731,263,118,381,0.6827956989247311,-36,-0.06451612903225806,3,2,5,0.008960573476702509,213,6.610344827586207,6.977586206896552,7.344827586206897
2025-02-13,1161867,Courts at Spring Mill Station,Principal,386,2,359,0.9300518134715026,65,134,199,0.5155440414507773,68,116,184,0.47668393782383417,15,0.038860103626943004,5,10,15,0.038860103626943004,187,5.803448275862069,6.125862068965517,6.448275862068965
2025-02-13,1197886,The Caswell at Runnymeade,AEW,247,1,214,0.8663967611336032,84,61,145,0.5870445344129555,94,0,94,0.3805668016194332,51,0.20647773279352227,2,1,3,0.012145748987854251,102,3.1655172413793102,3.3413793103448275,3.5172413793103448
2025-02-13,1197887,The Dean Reno,CRG and Canyon,773,6,666,0.8615782664941786,227,214,441,0.5705045278137129,171,97,268,0.34670116429495473,173,0.2238033635187581,17,10,27,0.03492884864165589,332,10.303448275862069,10.875862068965517,11.448275862068966
2025-02-13,1311849,Venue at North Campus,CBRE,734,0,640,0.8719346049046321,80,186,266,0.36239782016348776,178,203,381,0.5190735694822888,-115,-0.1566757493188011,11,11,22,0.02997275204359673,468,14.524137931034483,15.331034482758621,16.137931034482758
2025-02-13,100064798,The Stretch,CBRE,533,0,511,0.9587242026266416,72,127,199,0.37335834896810505,342,180,522,0.9793621013133208,-323,-0.6060037523452158,3,6,9,0.016885553470919325,334,10.36551724137931,10.941379310344828,11.517241379310345
2025-02-14,518041,The Academy at Frisco,AEW,640,4,634,0.990625,319,257,576,0.9,259,316,575,0.8984375,1,0.0015625,4,4,8,0.0125,64,1.986206896551724,2.096551724137931,2.206896551724138
2025-02-14,518042,The Academy on Charles,JHU,328,4,327,0.9969512195121951,91,73,164,0.5,127,113,240,0.7317073170731707,-76,-0.23170731707317074,2,2,4,0.012195121951219513,164,5.089655172413793,5.372413793103449,5.655172413793103
2025-02-14,518044,Shortbread Lofts,Principal,374,3,374,1,346,25,371,0.9919786096256684,334,25,359,0.9598930481283422,12,0.03208556149732621,0,0,0,0,3,0.09310344827586207,0.09827586206896552,0.10344827586206896
